epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,981.044,1.0261,1.87283,1.00737,1.01608,0.32101,0.52097,0.24904,0.1732,0.31613,0.50968,0.24741,0.15632,1.22424,2.26206,3.25702,1.20237,0.00102337,0.00102337,0.00102337
41,1006.56,1.01206,1.91404,0.9997,1.00906,0.32367,0.49534,0.2542,0.17196,0.31422,0.47867,0.25052,0.16213,1.20888,2.24608,2.93283,1.16373,0.00100687,0.00100687,0.00100687
42,1028.97,1.04219,1.88347,1.00313,1.00052,0.33528,0.61092,0.2543,0.16436,0.32732,0.59456,0.24602,0.15222,1.29018,2.23304,2.89532,1.19373,0.000990365,0.000990365,0.000990365
43,1056.76,0.99741,1.81642,0.9659,0.98308,0.33454,0.59731,0.26154,0.16768,0.32909,0.57829,0.25099,0.1577,1.30804,2.233,2.93109,1.22749,0.000973861,0.000973861,0.000973861
44,1080,1.01067,1.86976,0.97136,0.99811,0.37612,0.46559,0.2862,0.19336,0.38648,0.47634,0.28769,0.1755,1.20677,2.30004,3.00798,1.16369,0.000957358,0.000957358,0.000957358
45,1103.05,0.93279,1.75553,0.94408,0.97376,0.34206,0.50376,0.26808,0.18601,0.35523,0.51989,0.27196,0.16861,1.16526,2.33921,2.88205,1.12017,0.000940855,0.000940855,0.000940855
46,1128.38,0.90418,1.76578,0.91325,0.98456,0.32236,0.50376,0.26749,0.18667,0.35478,0.44428,0.26611,0.16571,1.19414,2.36202,2.82927,1.12985,0.000924352,0.000924352,0.000924352
47,1153.09,0.96354,1.68158,1.09119,1.03427,0.33426,0.55023,0.2728,0.18965,0.32912,0.53894,0.26712,0.16691,1.1703,2.40257,2.9524,1.13333,0.000907848,0.000907848,0.000907848
48,1177.12,0.95706,1.78816,0.91752,0.98157,0.339,0.52688,0.26283,0.18707,0.32745,0.51192,0.24975,0.15734,1.14794,2.35969,2.95975,1.14174,0.000891345,0.000891345,0.000891345
49,1201.97,0.95634,1.69988,0.91637,0.98703,0.34361,0.51613,0.25851,0.18404,0.33789,0.50484,0.2546,0.1645,1.1808,2.28924,3.0577,1.13787,0.000874842,0.000874842,0.000874842
50,1225.86,0.87401,1.69908,0.94206,0.97706,0.31422,0.53226,0.26132,0.1849,0.30642,0.51559,0.25155,0.16397,1.17853,2.29816,3.1031,1.13115,0.000858338,0.000858338,0.000858338
51,1250.15,0.97169,1.72574,0.93917,0.98718,0.33898,0.47151,0.27767,0.19507,0.3389,0.46622,0.26761,0.17416,1.17289,2.35222,3.02159,1.13396,0.000841835,0.000841835,0.000841835
52,1273.61,0.97719,1.79599,0.89723,0.97449,0.32077,0.54768,0.25785,0.18535,0.29882,0.54194,0.25137,0.161,1.19395,2.35415,3.18538,1.13727,0.000825332,0.000825332,0.000825332
53,1294.95,0.91676,1.6425,0.89185,0.98103,0.33447,0.54247,0.25277,0.17931,0.3234,0.53118,0.2447,0.15456,1.14448,2.29538,3.16413,1.11291,0.000808828,0.000808828,0.000808828
54,1319.16,0.86612,1.5119,0.87145,0.95971,0.34011,0.52581,0.24699,0.17232,0.33322,0.51452,0.23873,0.15146,1.19649,2.28948,3.03217,1.13824,0.000792325,0.000792325,0.000792325
55,1341.47,0.89456,1.78734,0.87287,0.97049,0.33387,0.52503,0.24341,0.16078,0.32842,0.51622,0.24256,0.15032,1.23557,2.27014,3.21984,1.16271,0.000775822,0.000775822,0.000775822
56,1364.69,0.86245,1.59026,0.8358,0.95333,0.3355,0.4832,0.23458,0.15474,0.3394,0.48808,0.23538,0.14638,1.24997,2.24885,3.67217,1.1829,0.000759318,0.000759318,0.000759318
57,1388.5,0.86262,1.59155,0.83901,0.96135,0.3214,0.50914,0.24664,0.16053,0.3298,0.51264,0.23988,0.14836,1.25964,2.26002,3.36843,1.18965,0.000742815,0.000742815,0.000742815
58,1414.47,0.87998,1.54366,0.82221,0.94867,0.32792,0.49785,0.22806,0.14952,0.332,0.48656,0.22367,0.13674,1.25216,2.24176,2.97357,1.17399,0.000726312,0.000726312,0.000726312
59,1435.17,0.82849,1.53893,0.81908,0.95917,0.32432,0.49839,0.23349,0.15567,0.33292,0.47043,0.23037,0.1398,1.25279,2.25403,2.85056,1.17608,0.000709809,0.000709809,0.000709809
60,1459.38,0.84923,1.57746,0.83406,0.94757,0.32557,0.49247,0.23665,0.16125,0.34269,0.44839,0.23217,0.13924,1.24611,2.28112,2.72603,1.1845,0.000693305,0.000693305,0.000693305
61,1481.52,0.91317,1.73056,0.8363,0.95648,0.34154,0.46641,0.22296,0.1543,0.34576,0.47178,0.22648,0.13092,1.25802,2.35068,2.82279,1.20206,0.000676802,0.000676802,0.000676802
62,1507.58,0.94626,1.68215,0.83833,0.96382,0.3049,0.49785,0.21315,0.14223,0.29161,0.54547,0.20767,0.12126,1.19174,2.38048,3.18964,1.15708,0.000660299,0.000660299,0.000660299
63,1531.35,0.83671,1.5685,0.81171,0.93885,0.30726,0.4871,0.22234,0.14823,0.28932,0.55323,0.21476,0.12815,1.19066,2.39417,3.32114,1.15797,0.000643795,0.000643795,0.000643795
64,1555.18,0.88477,1.58122,0.79251,0.95726,0.29339,0.55104,0.24716,0.17124,0.2964,0.54247,0.24305,0.14984,1.20536,2.43127,3.20199,1.17662,0.000627292,0.000627292,0.000627292
65,1579.05,0.80207,1.51246,0.74546,0.95297,0.37339,0.42204,0.27922,0.19273,0.38176,0.42742,0.27133,0.17268,1.23167,2.40404,2.92574,1.19964,0.000610789,0.000610789,0.000610789
66,1605.91,0.85999,1.60648,0.78999,0.94425,0.29899,0.59194,0.27046,0.1914,0.36784,0.39409,0.2661,0.17021,1.20819,2.37574,2.95986,1.17983,0.000594286,0.000594286,0.000594286
67,1628.18,0.79492,1.49701,0.75747,0.93294,0.29072,0.60122,0.27427,0.19975,0.28393,0.58455,0.26515,0.17789,1.21358,2.34716,3.02788,1.18194,0.000577782,0.000577782,0.000577782
68,1651.56,0.81801,1.4704,0.74737,0.93845,0.29732,0.58656,0.26348,0.19004,0.28932,0.56989,0.25526,0.16793,1.2007,2.30396,3.08777,1.16059,0.000561279,0.000561279,0.000561279
69,1676.01,0.90027,1.59045,0.79472,0.94419,0.30233,0.61323,0.25694,0.18313,0.29167,0.60249,0.25657,0.16139,1.19537,2.25863,3.06147,1.15221,0.000544776,0.000544776,0.000544776
70,1700.12,0.82729,1.46199,0.74883,0.92499,0.32192,0.49839,0.24592,0.18019,0.323,0.48572,0.25061,0.16065,1.15735,2.14837,3.008,1.12619,0.000528272,0.000528272,0.000528272
71,1721.55,0.82196,1.55175,0.77984,0.93989,0.30815,0.55271,0.25308,0.17966,0.33397,0.45968,0.24938,0.16298,1.15349,2.10462,3.0494,1.12071,0.000511769,0.000511769,0.000511769
72,1745.91,0.87451,1.41379,0.75391,0.93469,0.30016,0.50067,0.24347,0.17336,0.31376,0.47043,0.24406,0.15965,1.1319,2.0982,3.18381,1.10523,0.000495266,0.000495266,0.000495266
73,1773.3,0.8097,1.52642,0.77596,0.93248,0.28288,0.57826,0.24864,0.1746,0.28541,0.58136,0.25039,0.15902,1.1283,2.14858,3.18699,1.10561,0.000478762,0.000478762,0.000478762
74,1797.56,0.77743,1.44027,0.72421,0.94191,0.28939,0.59639,0.24725,0.17352,0.29248,0.60176,0.24819,0.1584,1.12149,2.12215,3.08303,1.09996,0.000462259,0.000462259,0.000462259
75,1819.88,0.7873,1.41633,0.72053,0.92525,0.28635,0.60269,0.25098,0.17426,0.29228,0.60269,0.25632,0.15973,1.1301,2.11184,3.07246,1.10271,0.000445756,0.000445756,0.000445756
76,1842.97,0.83003,1.52162,0.73329,0.92059,0.27376,0.60269,0.25247,0.17144,0.28622,0.5586,0.25501,0.16057,1.15468,2.16871,3.15673,1.11498,0.000429253,0.000429253,0.000429253
77,1868.26,0.78494,1.41579,0.76279,0.92117,0.27922,0.56989,0.25003,0.17721,0.2835,0.57527,0.2553,0.16798,1.16518,2.23088,3.08645,1.11945,0.000412749,0.000412749,0.000412749
